METRÔ DE SÃO PAULO;;;;;;;;;;;;;;;;;;;;;;; 
INFORMAÇÕES SOBRE A DEMANDA - 2020;;;;;;;;;;;;;;;;;;;;;;;
Passageiros Transportados por Linha¹ (em milhares);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
LINHA 1-AZUL;;;;;;;LINHA 2-VERDE;;;;;;;;;;;;;;;;
Mês;Total;MDU;MSA;MDO;MAX;;Mês;Total;MDU;MSA;MDO;MAX;;;;;;;;;;;
Jan;31.546;1.214;705;428;1.344;;Jan;17.665;702;308;208;775;;;;;;;;;;;
Fev;32.483;1.410;856;494;1.483;;Fev;18.033;826;390;257;870;;;;;;;;;;;
Mar*;23.635;918;484;302;1.493;;Mar*;12.945;515;217;148;839;;;;;;;;;;;
Abr*;6.868;277;164;102;317;;Abr*;3.726;155;78;49;168;;;;;;;;;;;
Mai*;7.700;318;188;111;333;;Mai*;4.000;171;86;53;178;;;;;;;;;;;
Jun*;10.074;391;239;128;438;;Jun*;5.210;206;106;61;233;;;;;;;;;;;
Jul*;13.023;484;322;155;527;;Jul*;6.651;254;137;73;281;;;;;;;;;;;
Ago*;14.306;553;363;174;596;;Ago*;7.393;295;158;83;314;;;;;;;;;;;
Set*;15.697;616;419;207;643;;Set*;8.150;329;181;97;344;;;;;;;;;;;
Out*;17.480;668;453;224;698;;Out*;9.020;356;196;107;371;;;;;;;;;;;
Nov*;17.630;703;503;259;736;;Nov*;9.080;374;217;124;387;;;;;;;;;;;
Dez*;17.629;696;467;252;757;;Dez*;8.889;364;197;114;394;;;;;;;;;;;
2020;208.071;687;430;236;1.493;;2020;110.761;379;189;115;870;;;;;;;;;;;
¹ Corresponde à soma das entradas pela linha de bloqueios com as transferências entre linhas nas estações Sé, Paraíso, Ana Rosa e Vila Prudente;;;;;;;;;;;;;;;;;;;;;;;
* Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;;;;;;;;;;;;;;;;;;;;
"MDU - Média dos Dias Úteis; MSA - Média dos Sábados; MDO - Média dos Domingos; MAX - Máxima Diária";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
