METRÔ DE SÃO PAULO;;;;;;;;;;;;;;;;;;;;;;; 
INFORMAÇÕES SOBRE A DEMANDA - 2024;;;;;;;;;;;;;;;;;;;;;;;
Passageiros Transportados por Linha¹ ² (em milhares);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
LINHA 1-AZUL;;;;;;;LINHA 2-VERDE;;;;;;;;;;;;;;;;
Mês;Total;MDU;MSA;MDO;MAX;;Mês;Total;MDU;MSA;MDO;MAX;;;;;;;;;;;
Jan;24.376;937;633;365;1.043;;Jan;14.082;566;297;187;643;;;;;;;;;;;
Fev;25.664;1.075;680;418;1.123;;Fev;15.275;665;338;230;708;;;;;;;;;;;
Mar;27.990;1.126;652;364;1.157;;Mar;16.620;695;315;190;722;;;;;;;;;;;
Abr;29.039;1.124;700;382;1.149;;Abr;17.481;696;341;201;719;;;;;;;;;;;
Mai;28.282;1.113;691;364;1.145;;Mai;16.844;693;334;184;720;;;;;;;;;;;
Jun;27.390;1.096;700;394;1.150;;Jun;16.388;680;339;217;712;;;;;;;;;;;
Jul;26.963;1.016;705;400;1.056;;Jul;16.067;632;328;210;670;;;;;;;;;;;
Ago;29.153;1.105;681;359;1.165;;Ago;17.641;693;331;186;729;;;;;;;;;;;
Set;28.679;1.131;720;422;1.181;;Set;17.213;704;342;212;733;;;;;;;;;;;
Out;30.364;1.130;685;430;1.180;;Out;18.450;709;337;213;743;;;;;;;;;;;
Nov;28.056;1.150;722;420;1.191;;Nov;16.774;721;348;209;753;;;;;;;;;;;
Dez;25.874;1.039;730;431;1.195;;Dez;15.204;639;345;222;744;;;;;;;;;;;
2024;331.830;1.087;691;396;1.195;;2024;198.038;674;333;205;753;;;;;;;;;;;
¹ Corresponde à soma das entradas pela linha de bloqueios com as transferências entre linhas nas estações Sé, Paraíso, Ana Rosa e Vila Prudente;;;;;;;;;;;;;;;;;;;;;;;
² Indicador influenciado pela mudança nos hábitos de viagem dos passageiros, em decorrência da pandemia de COVID-19.;;;;;;;;;;;;;;;;;;;;;;;
"MDU - Média dos Dias Úteis; MSA - Média dos Sábados; MDO - Média dos Domingos; MAX - Máxima Diária";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
LINHA 3-VERMELHA;;;;;;;LINHA 15-PRATA;;;;;;;;;;;;;;;;
Mês;Total;MDU;MSA;MDO;MAX;;Mês;Total;MDU;MSA;MDO;MAX;;;;;;;;;;;
Jan;24.376;939;620;372;1.060;;Jan;2.561;103;48;34;120;;;;;;;;;;;
