fare_id,price,currency_type,payment_method,transfers,agency_id
001,5.4,BRL,0,0,1
002,5.4,BRL,0,0,1
003,6.75,BRL,0,0,1
004,8.4,BRL,0,0,1
006,7.7,BRL,0,0,1
008,6.45,BRL,0,0,1
011,7.75,BRL,0,0,1
011PR1,7.75,BRL,0,0,1
012,6.3,BRL,0,0,1
014,6.45,BRL,0,0,1
016,7.35,BRL,0,0,1
020,6.45,BRL,0,0,1
022,6.45,BRL,0,0,1
023,6.45,BRL,0,0,1
024,6.45,BRL,0,0,1
025,6.65,BRL,0,0,1
027,5.9,BRL,0,0,1
027EX1,5.9,BRL,0,0,1
02Verde,0.0,BRL,0,0,1
030,6.0,BRL,0,0,1
030BI1,6.0,BRL,0,0,1
032,7.15,BRL,0,0,1
032DV1,7.15,BRL,0,0,1
033,6.95,BRL,0,0,1
034,4.85,BRL,0,0,1
035,8.4,BRL,0,0,1
036,9.65,BRL,0,0,1
036BI1,6.95,BRL,0,0,1
038,9.4,BRL,0,0,1
039,6.65,BRL,0,0,1
040,9.15,BRL,0,0,1
040EX1,7.7,BRL,0,0,1
041,4.55,BRL,0,0,1
042,8.75,BRL,0,0,1
042VP1,8.65,BRL,0,0,1
043,5.95,BRL,0,0,1
043BI1,5.95,BRL,0,0,1
047,5.9,BRL,0,0,1
049,6.7,BRL,0,0,1
050,7.05,BRL,0,0,1
051,5.9,BRL,0,0,1
052,7.05,BRL,0,0,1
053,7.05,BRL,0,0,1
053BI1,6.45,BRL,0,0,1
054,9.7,BRL,0,0,1
055,9.7,BRL,0,0,1
056,7.2,BRL,0,0,1
058,7.7,BRL,0,0,1
060,6.45,BRL,0,0,1
061,7.05,BRL,0,0,1
063,9.4,BRL,0,0,1
063EX1,9.4,BRL,0,0,1
064,7.7,BRL,0,0,1
068,6.4,BRL,0,0,1
069,4.55,BRL,0,0,1
073,6.4,BRL,0,0,1
075,6.65,BRL,0,0,1
077,8.4,BRL,0,0,1
078,6.4,BRL,0,0,1
079,6.4,BRL,0,0,1
080,7.05,BRL,0,0,1
082,9.95,BRL,0,0,1
082DV1,9.95,BRL,0,0,1
084,6.45,BRL,0,0,1
085,9.25,BRL,0,0,1
085VP1,7.85,BRL,0,0,1
086,7.7,BRL,0,0,1
086PR1,7.7,BRL,0,0,1
087,6.45,BRL,0,0,1
088,6.65,BRL,0,0,1
089,6.4,BRL,0,0,1
090,6.4,BRL,0,0,1
094,6.35,BRL,0,0,1
095,7.95,BRL,0,0,1
096,9.35,BRL,0,0,1
100,6.8,BRL,0,0,1
101,5.9,BRL,0,0,1
102,5.9,BRL,0,0,1
103,6.35,BRL,0,0,1
104,6.35,BRL,0,0,1
105,6.35,BRL,0,0,1
107,5.9,BRL,0,0,1
110,6.7,BRL,0,0,1
111,6.35,BRL,0,0,1
112,7.05,BRL,0,0,1
113,6.45,BRL,0,0,1
114,7.9,BRL,0,0,1
115,8.65,BRL,0,0,1
117,5.9,BRL,0,0,1
117EX1,5.9,BRL,0,0,1
120,7.8,BRL,0,0,1
120PR1,7.8,BRL,0,0,1
121,6.45,BRL,0,0,1
122,6.45,BRL,0,0,1
123,6.45,BRL,0,0,1
124,6.4,BRL,0,0,1
125,6.4,BRL,0,0,1
125BI1,6.4,BRL,0,0,1
128,6.4,BRL,0,0,1
130,7.7,BRL,0,0,1
134,6.45,BRL,0,0,1
137,9.35,BRL,0,0,1
138,8.0,BRL,0,0,1
139,7.25,BRL,0,0,1
140,5.9,BRL,0,0,1
141,10.55,BRL,0,0,1
145,6.65,BRL,0,0,1
147,7.7,BRL,0,0,1
148,5.9,BRL,0,0,1
149,5.9,BRL,0,0,1
151,5.9,BRL,0,0,1
152,8.4,BRL,0,0,1
152DV1,8.4,BRL,0,0,1
153,8.4,BRL,0,0,1
154,8.4,BRL,0,0,1
156,5.9,BRL,0,0,1
157,5.9,BRL,0,0,1
158,9.2,BRL,0,0,1
158BI1,7.7,BRL,0,0,1
160,9.2,BRL,0,0,1
