fare_id,route_id
001,001
002,002
003,003
004,004
006,006
008,008
011,011
011PR1,011PR1
012,012
014,014
016,016
020,020
022,022
023,023
024,024
025,025
027,027
027EX1,027EX1
030,030
030BI1,030BI1
032,032
032DV1,032DV1
033,033
034,034
035,035
036,036
036BI1,036BI1
038,038
039,039
040,040
040EX1,040EX1
041,041
042,042
042VP1,042VP1
043,043
043BI1,043BI1
047,047
049,049
050,050
051,051
052,052
053,053
053BI1,053BI1
054,054
055,055
056,056
058,058
060,060
061,061
063,063
063EX1,063EX1
064,064
068,068
069,069
073,073
075,075
077,077
078,078
079,079
080,080
082,082
082DV1,082DV1
084,084
085,085
085VP1,085VP1
086,086
086PR1,086PR1
087,087
088,088
089,089
090,090
094,094
095,095
096,096
100,100
101,101
102,102
103,103
104,104
105,105
107,107
110,110
111,111
112,112
113,113
114,114
115,115
117,117
117EX1,117EX1
120,120
120PR1,120PR1
121,121
122,122
123,123
124,124
125,125
125BI1,125BI1
128,128
130,130
134,134
137,137
138,138
139,139
140,140
141,141
145,145
147,147
148,148
149,149
151,151
152,152
152DV1,152DV1
153,153
154,154
156,156
157,157
158,158
158BI1,158BI1
160,160
160EX1,160EX1
163,163
165,165
165EX1,165EX1
166,166
166BI1,166BI1
167,167
167PR1,167PR1
170,170
171,171
173,173
175,175
177,177
178,178
178BI1,178BI1
180,180
181,181
182,182
190,190
191,191
193,193
194,194
195,195
196,196
197,197
198,198
199,199
200,200
201,201
202,202
203,203
204,204
206,206
208,208
211,211
213,213
214,214
215,215
216,216
217,217
218,218
218EX1,218EX1
219,219
219BI1,219BI1
223,223
226,226
227,227
228,228
229,229
230,230
231,231
231BI1,231BI1
236,236
237,237
238,238
239,239
240,240
241,241
242,242
242BI1,242BI1
244,244
244EX1,244EX1
245,245
246,246
246EX1,246EX1
247,247
247EX1,247EX1
247EX2,247EX2
248,248
249,249
250,250
252,252
253,253
254,254
254DV1,254DV1
255,255
256,256
257,257
258,258
260,260
260EX1,260EX1
261,261
262,262
263,263
264,264
264BI1,264BI1
265,265
266,266
266DV1,266DV1
269,269
273,273
277,277
279,279
280,280
280BI1,280BI1
281,281
283,283
283VP1,283VP1
284,284
285,285
286,286
287,287
287E,287E
287PIR,287PIR
287UBUS,287UBUS
288,288
288PIR,288PIR
289,289
290,290
291,291
291BI1,291BI1
292,292
292DV1,292DV1
293,293
297,297
300,300
303,303
305,305
307,307
307BI1,307BI1
309,309
310,310
311,311
311DV1,311DV1
312,312
313,313
314,314
315,315
316,316
317,317
319,319
321,321
322,322
323,323
324,324
324BI1,324BI1
327,327
329,329
331,331
332,332
332EX1,332EX1
334,334
335,335
336,336
337,337
339,339
340,340
341,341
342,342
342DV1,342DV1
343,343
345,345
346,346
347,347
348,348
349,349
350,350
351,351
351BI1,351BI1
351PR1,351PR1
352,352
353,353
354,354
358,358
359,359
360,360
361,361
361EX1,361EX1
362,362
363,363
366,366
367,367
372,372
374,374
375,375
376,376
377,377
378,378
379,379
380,380
381,381
382,382
382EX1,382EX1
384,384
386,386
390,390
392,392
394,394
396,396
399,399
402,402
403,403
404,404
404EX1,404EX1
404EX2,404EX2
405,405
408,408
409,409
409BI1,409BI1
411,411
415,415
416,416
417,417
418,418
419,419
421,421
422,422
424,424
426,426
427,427
428,428
429,429
430,430
431,431
432,432
436,436
438,438
439,439
