route_id,agency_id,route_short_name,route_long_name,route_type
001,1,001,ITAPECERICA DA SERRA (PARQUE PARAISO) - SAO PAULO (METRO CAPAO REDONDO),3
002,1,002,EMBU DAS ARTES (ENGENHO VELHO) - SAO PAULO (METRO CAPAO REDONDO),3
003,1,003,GUARULHOS (COCAIA) - SAO PAULO (METRO TUCURUVI),3
004,1,004,SAO BERNARDO DO CAMPO (PARQUE ALVARENGA) - SAO PAULO (TERMINAL SACOMA),3
006,1,006,SAO BERNARDO DO CAMPO (COOPERATIVA) - SAO PAULO (TERMINAL SACOMA),3
008,1,008,SAO CAETANO DO SUL (NOVA GERTI) - SAO PAULO (TERMINAL SACOMA),3
011,1,011,GUARULHOS (PARQUE CONTINENTAL II) - SAO PAULO (METRO ARMENIA),3
011PR1,1,011PR1,GUARULHOS (PARQUE CONTINENTAL III) - SAO PAULO (METRO ARMENIA),3
012,1,012,EMBU-GUACU (VILA DIRCE) - SAO PAULO (TERMINAL ESTACAO VARGINHA),3
014,1,014,FRANCO DA ROCHA (PARQUE VITORIA) - CAIEIRAS (TERMINAL RODOVIARIO ALIPIO MARTINHO),3
016,1,016,GUARULHOS (TERMINAL METROPOLITANO TABOAO) - SAO PAULO (METRO ARMENIA),3
020,1,020,CARAPICUIBA (VILA DIRCE) - OSASCO (VILA YARA),3
022,1,022,CARAPICUIBA (VILA DIRCE) - OSASCO (VILA YARA),3
023,1,023,CARAPICUIBA (COHAB V) - OSASCO (VILA YARA),3
024,1,024,ITAPEVI (JARDIM AMADOR BUENO) - COTIA (TERMINAL METROPOLITANO DE COTIA),3
025,1,025,SUZANO (CIDADE EDSON) - MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),3
027,1,027,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE) - SAO PAULO (JARDIM TIETE),3
027EX1,1,027EX1,SANTO ANDRE (HOSPITAL MARIO COVAS) - SAO PAULO (JARDIM TIETE),3
02Verde,1,02Verde,DUTRA (GUARULHOS) - VILA PRUDENTE,3
030,1,030,JUQUITIBA (BARNABES) - ITAPECERICA DA SERRA (VALO VELHO),3
030BI1,1,030BI1,JUQUITIBA (BAIRRO DOS JUSTINOS) - ITAPECERICA DA SERRA (VALO VELHO),3
032,1,032,ITAPECERICA DA SERRA (PARQUE PARAISO) - SAO PAULO (METRO VILA SONIA),3
032DV1,1,032DV1,ITAPECERICA DA SERRA (PARQUE PARAISO) - SAO PAULO (METRO VILA SONIA),3
033,1,033,EMBU DAS ARTES (ENGENHO VELHO) - SAO PAULO (METRO VILA SONIA),3
034,1,034,ITAPECERICA DA SERRA (JARDIM SAO MARCOS) - ITAPECERICA DA SERRA (JARDIM DAS OLIVEIRAS),3
035,1,035,COTIA (MIRANTE DA MATA) - SAO PAULO (METRO BUTANTA),3
036,1,036,VARGEM GRANDE PAULISTA (JARDIM SAO MARCOS) - SAO PAULO (METRO MORUMBI),3
036BI1,1,036BI1,EMBU DAS ARTES (JARDIM TOME) - SAO PAULO (METRO MORUMBI),3
038,1,038,MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES) - SAO PAULO (METRO ARMENIA),3
039,1,039,SUZANO (CIDADE EDSON) - MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),3
040,1,040,SANTO ANDRE (PARANAPIACABA) - SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE),3
040EX1,1,040EX1,SANTO ANDRE (PARQUE ANDREENSE) - SANTO ANDRE (TERMINAL METROPOLITANO DE SANTO ANDRE LESTE),3
041,1,041,RIO GRANDE DA SERRA (CENTRO) - RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),3
042,1,042,MAIRIPORA (DIVISA) - SAO PAULO (TERMINAL RODOVIARIO TIETE),3
042VP1,1,042VP1,MAIRIPORA (TERMINAL RODOVIARIO CIDADE BONITA SIGUEMI AIACYDA) - SAO PAULO (TERMINAL RODOVIARIO TIETE),3
043,1,043,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC) - SANTO ANDRE (CATA PRETA),3
043BI1,1,043BI1,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC) - SANTO ANDRE (REPRESA),3
047,1,047,SANTO ANDRE (VILA PALMARES) - SAO PAULO (TAMANDUATEI),3
049,1,049,MAIRIPORA (TERMINAL RODOVIARIO CIDADE BONITA SIGUEMI AIACYDA) - FRANCO DA ROCHA (CENTRO),3
050,1,050,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS) - SAO PAULO (SAUDE),3
051,1,051,DIADEMA (VILA SAO JOSE) - SAO PAULO (SAUDE),3
052,1,052,OSASCO (JARDIM ELVIRA) - SAO PAULO (LAPA),3
053,1,053,BARUERI (PARQUE IMPERIAL) - SAO PAULO (LAPA),3
053BI1,1,053BI1,OSASCO (JARDIM COLINAS D OESTE) - SAO PAULO (LAPA),3
054,1,054,CAJAMAR (JORDANESIA) - SAO PAULO (LAPA),3
055,1,055,CAJAMAR (CTE - VILA NOVA) - SAO PAULO (LAPA),3
056,1,056,EMBU DAS ARTES (CENTRO) - SAO PAULO (METRO CAMPO LIMPO),3
058,1,058,OSASCO (TERMINAL RODOVIARIO HELENA MARIA) - SAO PAULO (PINHEIROS),3
060,1,060,OSASCO (OLARIA DO NINO) - SAO PAULO (METRO BUTANTA),3
061,1,061,CARAPICUIBA (JARDIM GUAPIUVA) - SAO PAULO (METRO BUTANTA),3
063,1,063,RIBEIRAO PIRES (OURO FINO PAULISTA) - SAO PAULO (TERMINAL SACOMA),3
063EX1,1,063EX1,RIO GRANDE DA SERRA (SANTA TEREZA) - SAO PAULO (TERMINAL SACOMA),3
064,1,064,MAUA (JARDIM GUAPITUBA) - SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),3
068,1,068,TABOAO DA SERRA (PARQUE LAGUNA) - SAO PAULO (METRO VILA SONIA),3
069,1,069,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE) - SAO PAULO (FABRICA TROL),3
073,1,073,GUARULHOS (NOVA BONSUCESSO) - SAO PAULO (SAO MIGUEL PAULISTA),3
