stop_id,stop_name,stop_lat,stop_lon
2,"Rua Oswaldo Cruz, 74",-23.680857,-46.533777
3,"Rua Juquiá, 636 - Jardim Jamaica, Santo André - SP, 09185-220, Brasil",-23.68229,-46.529803
4,"Av. Rangel Pestana, 252 - Jardim Cristiane, Santo André - SP, 09185-220, Brasil",-23.684318,-46.527843
5,"Av. Rangel Pestana, 462 - Jardim Cristiane, Santo André - SP, 09185-220, Brasil",-23.685812,-46.527433
6,"Av. Rangel Pestana, 600 - Jardim Cristiane, Santo André - SP, 09185-220, Brasil",-23.686808,-46.528423
7,"Avenida Rangel Pestana, 814",-23.688108,-46.530024
8,"Avenida Rangel Pestana, 3060",-23.688782,-46.531374
9,"Rua Saldanha da Gama, 34",-23.690754,-46.530454
10,"Rua Saldanha da Gama, 87 - Jardim Moncoes, Santo André - SP, 09180-290, Brasil",-23.691871,-46.529179
11,"Rua Joanopolis, 480",-23.696019,-46.525713
12,"Rua Prof. Antônio Seixas Leite Ribeiro, 31 - Jardim Alvorada, Santo André - SP, 09180-110, Brasil",-23.697442,-46.52527
14,"Rua Prof. Antônio Seixas Leite Ribeiro, 24 - Jardim Alvorada, Santo André - SP, 09180-110, Brasil",-23.702198,-46.52237
16,"Rua Prof. Antônio Seixas Leite Ribeiro, 21 - Jardim Alvorada, Santo André - SP, 09180-110, Brasil",-23.70208,-46.522287
20,"Rua Amalio Julio Gazzelli, 38 - Jardim Las Vegas, Santo André - SP, 09182-200, Brasil",-23.697156,-46.526769
21,"Rua Otávio Cândido, 465",-23.696503,-46.528146
22,"Rua Demétrio Ghirardello, 515 - Jardim Las Vegas, Santo André - SP, 09182-520, Brasil",-23.697716,-46.528432
23,"Rua Leonardo Fioravanti, 217 - Jardim Las Vegas, Santo André - SP, 09182-470, Brasil",-23.699668,-46.528938
24,"Av. Taioca, 2737 - Jardim Las Vegas, Santo André - SP, 09182-400, Brasil",-23.700951,-46.531618
25,"Rua Belarminio Francisco Vasconcelos, 442 - Baeta Neves, São Bernardo do Campo - SP, 14090-122, Brasil",-23.700899,-46.53475
26,"Rua Giacinto Tognato 1767 - Baeta Neves, São Bernardo do Campo - SP, 09760-372, Brasil",-23.701355,-46.536131
27,"Rua Giacinto Tognato, 1575 - Baeta Neves, São Bernardo do Campo - SP, 09760-372, Brasil",-23.70031,-46.537392
29,"R. Giacinto Tognato, 1097 - Jardim Las Vegas, São Bernardo do Campo - SP, 09760-372, Brasil",-23.69737,-46.540281
30,"Rua Giacinto Tognato, 819 - Baeta Neves, São Bernardo do Campo - SP, 09751-440, Brasil",-23.695485,-46.540534
31,"Rua Giacinto Tognato 625 - Baeta Neves, São Bernardo do Campo - SP, 09751-400, Brasil",-23.693529,-46.540832
34,"Av. Getúlio Vargas, 941 - Baeta Neves, São Bernardo do Campo - SP, 09751-250, Brasil",-23.691997,-46.544557
36,"Av. Getúlio Vargas, 373 - Baeta Neves, São Bernardo do Campo - SP, 09751-250, Brasil",-23.695088,-46.545909
40,"Av. Brg. Faria Lima, 154 - Parada Praça Brasil-Itália - Centro, São Bernardo do Campo - SP, 09720-010, Brasil",-23.700115,-46.552456
48,"Avel - Jardim Silvina, São Bernardo do Campo - SP, 09790-400, Brasil",-23.726198,-46.549289
49,"Tunel da VW - Jardim Silvina, São Bernardo do Campo - SP, 09790-400, Brasil",-23.728849,-46.547965
